Policy ID,Policyholder ID,Policy Type,Coverage Amount,Deductible,Premium Amount,Policy Start Date,Policy End Date,Name,Address,City,State,Zip,Age,Income,Credit Score,Property Type,Property Value,Square Footage,Year Built,Latitude,Longitude,Claim ID,Claim Date,Claim Type,Claim Amount,Claim Status,Number of Bedrooms,Number of Bathrooms,Roof Type,Construction Type,Proximity to Flood Zone,Proximity to Fire Station
POL0048,PH0048,Home,326147,2169,1847,2021-03-25,2026-08-19,Gabriel White,"9523 John Drives Apt. 904
Elizabethfurt, MA 87528",Amberfort,ND,86188,57,30000,693,Condo,391376.39999999997,2436,2019,36.092257,-52.737452,CLA0048,2024-10-12,Other,11606,Closed,3,3,Wood,Brick,Near,Near
POL0049,PH0049,Home,332622,1967,1859,2020-01-05,2023-04-05,Allen Jimenez,"93170 Patrick Plaza Suite 253
North Valerieburgh, AZ 75796",Jameshaven,OH,95532,72,93522,710,Single Family,399146.39999999997,2089,1988,-8.061799,58.606922,CLA0049,2022-07-22,Weather,10002,Open,5,1,Wood,Wood,Near,Near
POL0050,PH0050,Home,227865,2075,1346,2021-08-28,2027-03-10,Peggy Branch,"910 Jacob Trafficway Apt. 640
Danielville, VT 99277",North Lisastad,NV,57989,46,129542,720,Single Family,273438.0,1779,1922,-49.6373105,39.398409,CLA0050,2026-07-31,Fire,13662,Open,5,2,Metal,Concrete,Not Near,Near
POL0051,PH0051,Renters,211372,582,1115,2020-10-30,2024-03-19,George Chen,"23365 Gomez Shore
New Marissa, WY 47832",Port Jeffreyton,IL,23265,32,31033,730,Multi-Family,253646.4,1164,1977,-27.970384,-150.232460,CLA0051,2024-03-08,Weather,8914,Open,5,3,Asphalt,Concrete,Near,Near
POL0052,PH0052,Condo,345831,1095,1838,2019-11-30,2020-07-14,Adam Myers,"6399 James Centers Apt. 636
West Jeffrey, WA 73857",Jackhaven,MN,55505,35,96310,746,Single Family,414997.2,1504,1998,-8.7032285,168.667238,CLA0052,2020-01-24,Fire,12604,Open,4,1,Asphalt,Brick,Near,Not Near
POL0053,PH0053,Condo,363757,1691,1987,2019-09-27,2023-10-18,Debra Huff,"5233 Bianca Junctions
South Matthewfurt, VT 09180",Shirleyport,AR,30051,56,44568,694,Condo,436508.39999999997,1848,1925,54.1097855,35.907630,CLA0053,2021-09-09,Fire,16711,Closed,1,1,Metal,Concrete,Near,Not Near
POL0054,PH0054,Home,249933,2032,1452,2023-08-10,2025-07-18,Karen Stephens,"391 Pollard Port Suite 823
Port Tina, IN 13587",Port Carol,DE,39441,71,80046,755,Multi-Family,299919.6,2263,2007,41.684610,166.153850,CLA0054,2024-03-24,Weather,21586,Open,2,1,Metal,Concrete,Not Near,Not Near
POL0055,PH0055,Home,400692,1694,2172,2020-11-15,2022-05-29,Dean Turner,"11081 Jacqueline Alley Suite 055
Karinastad, AL 63549",Deanville,AZ,49466,57,50993,754,Single Family,480830.39999999997,2523,2010,-14.8721225,-176.587983,CLA0055,2020-11-24,Weather,10048,Closed,4,1,Tile,Wood,Near,Near
POL0056,PH0056,Renters,427741,1632,2301,2021-12-17,2023-06-04,Crystal Mitchell,"2340 Neal Forest
Lake Sylvia, SC 96482",New David,TN,44674,34,68473,691,Condo,513289.19999999995,1983,1984,74.121812,47.824623,CLA0056,2022-03-09,Other,8320,Open,4,3,Tile,Brick,Near,Not Near
POL0057,PH0057,Renters,233527,1642,1331,2020-08-27,2027-07-01,Mrs. Savannah Russell DVM,"5661 Justin Dam Suite 735
North Kylestad, SD 86467",Riggston,IA,63346,35,31001,719,Multi-Family,280232.39999999997,2544,2011,69.3959405,-92.623727,CLA0057,2021-12-18,Theft,9457,Open,1,3,Wood,Brick,Not Near,Not Near
POL0058,PH0058,Condo,481692,1593,2567,2021-02-16,2026-09-23,Michael Williamson,"41931 James Drives Apt. 066
Christophershire, MI 17125",Lake Emilyfort,RI,27233,52,122639,736,Multi-Family,578030.4,2251,1976,-39.3760785,134.750652,CLA0058,2023-11-20,Fire,15031,Closed,1,2,Asphalt,Brick,Not Near,Near
POL0059,PH0059,Home,301097,953,1600,2023-05-25,2027-09-25,Anna Moreno,"USNV Arnold
FPO AE 02345",North Thomas,IA,96439,44,58027,696,Single Family,361316.39999999997,2573,1901,36.500260,-53.785556,CLA0059,2023-08-01,Other,6115,Closed,5,3,Wood,Concrete,Near,Not Near
POL0060,PH0060,Home,310693,1973,1750,2019-12-19,2021-03-02,David Wood,"3485 Diane Mountain Apt. 052
Kingfort, MI 05041",New Joseph,GA,27667,68,30000,699,Multi-Family,372831.6,1773,1927,-1.4457345,143.120477,CLA0060,2020-07-27,Other,12194,Closed,1,3,Tile,Brick,Not Near,Not Near
POL0061,PH0061,Home,392040,836,2043,2020-07-14,2022-11-10,Caleb Rivera,"USS Downs
FPO AE 77218",Williamsland,AZ,99120,45,53970,684,Condo,470448.0,1018,1966,-72.192814,83.379143,CLA0061,2020-09-15,Theft,500,Open,4,3,Metal,Wood,Near,Near
POL0062,PH0062,Condo,240189,1038,1304,2020-05-29,2022-07-29,Barbara Cannon,"62107 Sheri Forest Apt. 510
North Lauren, OH 40576",Hillshire,NM,19069,72,64591,695,Single Family,288226.8,1670,1939,82.1202045,176.368099,CLA0062,2021-02-01,Other,2517,Open,4,1,Tile,Brick,Not Near,Near
POL0063,PH0063,Home,204985,1006,1125,2021-08-06,2023-09-23,Matthew Dunn,"40912 Mejia Underpass
Elliottside, AZ 97247",Gilmoreville,MI,37208,50,40494,733,Multi-Family,245982.0,2734,1947,-83.3647725,-119.762632,CLA0063,2022-06-20,Other,15900,Closed,4,2,Tile,Brick,Near,Not Near
POL0064,PH0064,Renters,136914,1119,796,2020-01-21,2022-12-11,Janet Ewing,"Unit 9581 Box 2420
DPO AA 83936",Lake Raymondborough,CT,10332,50,85184,617,Multi-Family,164296.8,2558,1952,-35.3243485,44.897050,CLA0064,2022-07-26,Weather,13246,Closed,3,3,Wood,Steel,Near,Near
POL0065,PH0065,Condo,318470,1219,1714,2021-10-09,2029-03-18,Wyatt Green,"1781 Mary Expressway Apt. 580
Lake Darylland, NM 97567",Lake John,HI,59615,44,62403,764,Single Family,382164.0,1278,1911,-37.2750515,87.449703,CLA0065,2025-05-06,Other,1099,Closed,5,1,Tile,Brick,Not Near,Near
POL0066,PH0066,Home,167563,1042,942,2021-03-05,2023-03-17,Laura Lyons,"83717 Elizabeth Extensions Suite 858
Millerfurt, SD 73326",Mayside,IN,19534,65,67121,710,Multi-Family,201075.6,1820,1922,-59.5014325,-142.216567,CLA0066,2022-02-01,Weather,16937,Closed,4,3,Metal,Brick,Not Near,Not Near
POL0067,PH0067,Renters,148897,1462,890,2022-10-08,2025-09-17,Thomas Klein,"727 Douglas Drives
Vincentmouth, AZ 53255",Lake Madisonport,MA,16583,30,76662,705,Multi-Family,178676.4,2235,1904,7.9807135,37.138777,CLA0067,2024-06-13,Theft,6757,Closed,4,1,Tile,Wood,Near,Not Near
POL0068,PH0068,Condo,339880,1543,1853,2020-06-21,2023-12-06,Joseph Vargas,"85636 Petersen Bypass
Murphystad, NJ 19269",Danachester,NH,32722,49,70488,749,Multi-Family,407856.0,1849,2021,85.9351735,-58.275349,CLA0068,2020-10-24,Theft,11074,Open,1,3,Tile,Concrete,Near,Not Near
POL0069,PH0069,Renters,330850,805,1734,2022-08-23,2026-04-08,Jessica Palmer,"983 Rodney Mission Suite 744
Robertside, IL 10027",East Cameron,CA,78949,66,42484,642,Condo,397020.0,2130,1964,18.5261705,-75.346954,CLA0069,2024-10-24,Fire,13430,Closed,5,1,Metal,Wood,Near,Not Near
POL0070,PH0070,Home,361251,1867,1992,2023-09-03,2025-04-11,Anna Munoz,"4516 Cooley Road Suite 895
Port Amanda, MN 09122",Port Kenneth,UT,31254,26,113456,670,Condo,433501.2,1742,2017,-87.002425,-154.077743,CLA0070,2024-05-24,Fire,5695,Closed,4,3,Tile,Brick,Near,Not Near
POL0071,PH0071,Home,275805,2113,1590,2020-06-13,2021-04-02,John Wells,"9975 Bates Route Suite 357
South Richardville, FL 14538",Brendaville,NV,17683,36,62574,684,Condo,330966.0,1716,1979,89.4339595,119.541860,CLA0071,2021-01-03,Weather,13164,Open,1,3,Asphalt,Concrete,Not Near,Near
POL0072,PH0072,Renters,374106,1142,1984,2020-08-27,2020-11-20,Danielle Hudson,"USCGC Schroeder
FPO AA 21210",Scottfurt,IA,41562,46,37497,711,Condo,448927.2,2587,1941,-72.550194,-110.207142,CLA0072,2020-11-05,Other,13424,Open,5,3,Tile,Brick,Not Near,Not Near
POL0073,PH0073,Condo,190604,2221,1175,2020-02-16,2020-05-19,Pamela Douglas,"66367 Williams Key
Hortonberg, PA 81677",Shellymouth,IA,73868,43,89424,705,Single Family,228724.8,2220,1954,-74.9553115,-2.358632,CLA0073,2020-04-12,Fire,24123,Closed,1,3,Tile,Concrete,Near,Near
POL0074,PH0074,Home,323045,500,1665,2023-01-11,2026-01-21,Nathan Davis,"082 Johnson Forge
New Nathanhaven, AL 75597",Gallagherhaven,WI,98229,49,30000,658,Single Family,387654.0,2267,1978,40.7255815,-158.356144,CLA0074,2023-03-18,Other,14820,Closed,3,1,Tile,Brick,Near,Not Near
POL0075,PH0075,Condo,372259,1268,1988,2023-01-06,2023-04-08,Sherry Fox,"0308 Samantha Points
Josephhaven, NV 69612",Amberburgh,WI,21528,32,30000,697,Multi-Family,446710.8,1891,2002,41.808561,-160.433629,CLA0075,2023-02-17,Weather,3622,Closed,5,3,Wood,Brick,Near,Near
POL0076,PH0076,Renters,292828,1135,1577,2022-12-30,2027-08-26,Brett Duarte,"7939 Morgan Unions Suite 407
East Christopherbury, NM 41583",West Matthew,AZ,62117,34,113522,740,Single Family,351393.6,1793,1901,47.119958,121.204401,CLA0076,2026-05-28,Weather,8633,Closed,4,2,Asphalt,Brick,Near,Not Near
POL0077,PH0077,Condo,298512,1889,1681,2023-04-14,2025-05-19,Krystal Lewis,"9525 Wesley Avenue
Hubbardfurt, OH 35193",South Ryan,MA,97489,55,96022,723,Multi-Family,358214.39999999997,2004,1942,-61.1250135,53.690097,CLA0077,2023-11-19,Theft,11380,Open,1,3,Asphalt,Steel,Near,Not Near
POL0078,PH0078,Home,316473,1828,1765,2023-02-05,2027-12-09,Jerry Parker,"55145 Dickerson Views Apt. 343
Kevinhaven, VT 56106",Oliviafort,RI,72697,50,61892,674,Multi-Family,379767.6,1302,1984,-14.558719,-29.190858,CLA0078,2025-10-19,Theft,7382,Closed,3,3,Tile,Concrete,Not Near,Near
POL0079,PH0079,Renters,335347,2128,1889,2023-08-06,2024-11-12,Jeanne Garcia,"3219 Green Crossing Suite 741
Port Lisa, GA 17868",West Angelafurt,GA,92447,65,47189,657,Single Family,402416.39999999997,2365,2021,-2.666559,159.551890,CLA0079,2023-10-29,Fire,9422,Closed,4,2,Tile,Wood,Near,Not Near
POL0080,PH0080,Condo,234263,1425,1313,2022-04-23,2024-11-18,Elizabeth Hamilton,"7028 Yvette Viaduct Suite 177
Nicoletown, NC 79764",Mariaside,OK,63306,31,82688,745,Single Family,281115.6,2541,1974,13.966394,32.242576,CLA0080,2022-10-04,Theft,19013,Closed,3,2,Tile,Concrete,Not Near,Not Near
POL0081,PH0081,Renters,395315,1816,2158,2020-06-03,2024-03-09,Stephanie Lewis,"88609 Melissa Views Apt. 557
Marthaview, NM 51204",South Vincent,MD,24802,37,99475,751,Condo,474378.0,2195,1961,24.083609,46.067045,CLA0081,2022-08-08,Weather,2667,Open,3,2,Wood,Wood,Near,Near
POL0082,PH0082,Renters,119072,838,679,2020-07-22,2025-12-21,Kirsten Hernandez,"8980 Shannon Drives
Lake Austin, MI 40964",Travisstad,DE,15432,42,80656,698,Condo,142886.4,1439,1923,30.355261,-121.758504,CLA0082,2022-05-18,Fire,7336,Closed,4,3,Asphalt,Steel,Not Near,Near
POL0083,PH0083,Home,380288,1956,2097,2020-10-31,2020-12-31,Brandi Pruitt,"460 Jill Forest
Santiagomouth, ME 76406",Ramirezton,IL,76057,65,104221,701,Condo,456345.6,2046,1974,58.1261915,-67.104955,CLA0083,2020-11-28,Weather,8314,Open,4,3,Asphalt,Concrete,Not Near,Near
